english,translation,frequency_rank,pos,example,is_phrasal
writing,письменность; письмо; писание,498,noun,,false
year,год; лет; лето,499,noun,,false
angle,угол; точка зрения; удить; рыбачить; англ,500,noun,,false
ant,муравей; мурашка; муравель,501,noun,,false
apple,яблоко; Эпл,502,noun,,false
arch,дуга; арка; свод; изгибаться дугой; игривый,503,noun,,false
arm,рука; ручка; рукав; оружие; вооружение,504,noun,,false
army,армия; войско; вооружённые силы,505,noun,,false
baby,младенец; малыш; малышка,506,noun,,false
bag,сумка; мешок; пакет,507,noun,,false
ball,шар; сфера; мяч; ядрить; бал,508,noun,,false
band,лента; тесьма; повязка; оркестр; ансамбль,509,noun,,false
basin,таз; умывальник; бассейн,510,noun,,false
basket,корзина; лукошко; кошница,511,noun,,false
bath,ванна; ванная; баня; купать; искупать,512,noun,,false
bed,кровать; постель; койка,513,noun,,false
bee,пчела; толока; би; бэ,514,noun,,false
bell,колокол; колокольчик; звонок; звонить; позвонить,515,noun,,false
berry,ягода,516,noun,,false
bird,птица; пташка; птах,517,noun,,false
blade,лезвие; крыло; лопасть,518,noun,,false
board,доска; коммутатор; стенд; садиться; сесть,519,noun,,false
boat,лодка; шлюпка; бот,520,noun,,false
bone,кость; косточка; снимать мясо с костей,521,noun,,false
book,книга; книжка; том; бронировать; забронировать,522,noun,,false
boot,бутса; ботинок; башмак; пинать; пнуть,523,noun,,false
bottle,бутылка; фляжка; сноп; бутилировать,524,noun,,false
box,ящичек; коробочка; квадрат; букс; самшит,525,noun,,false
boy,слуга; лакей; мальчик на побегушках; блин,526,noun,,false
brain,головной мозг; мозг; мозги,527,noun,,false
